Pseudonyme;id_public;Date;Commentaire
Conore;100;2022-01-08;Personnellement, j'ajoute 25% de patates et termine en liant avec crème fraîche et 4 ou 5 jaunes d'oeufs.
Witied;100;2022-01-10;Délicieuse ! La noix de muscade donne un parfum étonnant !
Brible;103;2022-01-31;Délicieux, je le présente avec une petite salade (avec des noix) et surtout des pommes (le fruit). Un ami m'a suggéré de piquer le fromage (avec une seringue) au calva. Nous sommes en Normandie !
Stropeten;103;2022-01-31;J'aime bien
Thervin;103;2022-02-01;Je saupoudre d'ail et quelques cuillères à café de vin blanc sec.
Eard1982;103;2022-02-02;"Attention prendre un camembert au lait cru, pour éviter le goût de ""platre"". Emballer le fromage dans de l'alu, le remettre dans la boîte et mettre sur les braises pendant un petit 20 min..."
Withild;103;2022-02-09;"Un délice, pratique quand on a des invités de dernière minute ou tout simplement pas envie de cuisiner :) Moi je le mets directement au four (pour plus de rapidité) puissance maxi en 5-10 minutes c'est réglé, j'ai un superbe camembert prêt à exploser! On l'ouvre et hop trempinette ;) Hum...."
Allecomead;103;2022-02-10;Très bon si on aime le camembert :)
Phrovis;103;2022-02-14;Bien s'assurer que le fond de la boîte est en peuplier et non pas en carton !!!!! Sinon fromage fondu rien de plus
Riotied;111;2022-04-15;Super bon et simple à réaliser ! Je recommande 100% la recette. A la place de la farine pour absorber le liquide de la viande, je fais un peu plus de pommes de terre et je mets une couche en dessous de ma viande, et une au dessus
Triated;111;2022-04-16;Vraiment superbe recette. Petit +, rajouter un peu de cumin dans la viande hachée, un peu de muscade dans la purée et un peu de chapelure pour le gratiné
Wooduousted;111;2022-04-20;Très bonne recette. Je n’ai pas mis de tomate et ai ajouté dans ma purée maison de la crème et de la noix de muscade. Je referai!
Carmseepan;111;2022-04-24;Bon, mais il s'agit plus d'une sauce bolo à la purée (pas de tomate dans le Hachis parmentier). Et 300g de purée de pommes de terre pour 4, ce n'est pas assez.
Hene1991;111;2022-04-24;Très moelleux, il faut juste à mon avis mettre plus de purée j'ai doublé la quantité
Bullithein;111;2022-04-26;Parfait, j'ai rajouté 2 merguez hachées pour parfumer la viande. Un délice.
Wassible;111;2022-04-27;Excellent, avec une purée maison, c'est encore mieux :)
Formaded;111;2022-04-29;Au lieu des tomates j'ai mis des carottes et c'est super bon
Aptir1980;111;2022-04-29;Excellente recette, facile à réaliser. J'ai simplement rajouté une échalote, de la ciboulette ainsi que de la muscade dans les pommes de terre. Puis, remplacé le beurre par de l'huile d'olive et le fromage râpé par de la chapelure. À refaire !
Haverfice;111;2022-04-30;C’est bon mais il faut au moins doubler la purée… ou même tripler!
Malactind;111;2022-05-01;Très bon mais pas assez de pommes de terre, 100 g par personne ça me paraît faible.
Uposurs45;107;2022-03-19;Petit conseil: faites bouillir de l'eau avec un peu de vinaigre. Plongez vos oeufs sortis du frigo une heure avant. A la reprise de l'ébullition, comptez 3 minutes, sortez vos oeufs et rincez-les à l'eau froide pour arrêter la cuisson.
Conore;107;2022-03-20;Il faut effectivement les retirer quand l'eau bout si on les a mis dans l'eau froide... 3 minutes c'est quand on les met dans l'eau bouillante.
Uplive;107;2022-03-23;Super... 25 ans que j'en avais plus mangé...
Therling;107;2022-03-25;Super
Sonsise;107;2022-03-26;Cool très cool très très cool
Withild;112;2022-05-02;Beaucoup trop salé, la proportion de sauce soja est délirante ! Je n'utilise pas de soja sucré, mais avec sauce soja normale, mettre 1 càs maximum, et ajouter si nécessaire. J'ai respecté la dose, c'était immangeable, beaucoup trop salé. Pour le reste, la recette est bonne, je réessaierai avec moins de soja.
Allecomead;112;2022-05-02;Je trouve la recette un peu trop sucrée à mon goût.
Brible;112;2022-05-05;Excellente recette. Moi je les fais cuire au four. C'est moins gras et aussi bon.
Witied;112;2022-05-08;Excellente recette, juste diminuer la sauce soja à 3 cuillères à soupe.
Uposurs45;112;2022-05-09;Attention diminuer le soja par 2 minimum
Stropeten;114;2022-05-03;Magnifique!
Sweld1954;119;2022-06-10;Ça a l’air excellent!
Phrovis;119;2022-06-12;Juste wow.
